,column_skill/air_temperature,column_skill/cloud_water,column_skill/specific_humidity,column_skill/surface_precipitation,column_skill/gscond/air_temperature,column_skill/gscond/cloud_water,column_skill/gscond/specific_humidity,column_skill/precpd/air_temperature,column_skill/precpd/cloud_water,column_skill/precpd/specific_humidity,tropical_average_temp_near_tropopause_5d_k,antarctic_avg_column_integrated_cloud_5d_kg,drifts/air_temperature/10day,drifts/cloud_water_mixing_ratio/10day,drifts/specific_humidity/10day,duration_seconds
zcemu-monthly-init-rh-in-m06-30d-v2-online,0.9769243001937866,0.9384201169013976,0.9811097383499146,0.8889130353927612,0.9820877313613892,0.9859120845794678,0.9859120845794678,0.9118764400482178,0.8508008718490601,0.9192413091659546,206.37632692249133,0.104574703577266,-0.003211135263239839,-4.6549021475988125e-08,1.2557724910982217e-06,2591100
zcemu-monthly-init-rh-in-m07-30d-v1-online,0.9804495573043824,0.9376688599586488,0.9847927689552308,0.882995069026947,0.9828580617904664,0.9869292378425598,0.9869292378425598,0.9401659369468688,0.8446500301361084,0.9472504258155824,206.46667317762015,0.10280473883848468,0.0011111286829162735,-9.006176044508826e-09,1.0785456039261175e-06,2591100
zcemu-monthly-init-rh-in-m08-30d-v1-online,0.9809391498565674,0.9446387887001038,0.9857113361358644,0.8841453194618225,0.9840373396873474,0.9884347915649414,0.9884347915649414,0.936299443244934,0.864549994468689,0.9430325031280518,206.60950372558167,0.102526114193357,-0.001974704334062949,3.6821681108225815e-09,-2.679503309187953e-07,2591100
zcemu-monthly-init-rh-in-m09-30d-v1-online,0.9587395787239076,0.8914968371391296,0.962567150592804,0.8512694239616394,0.9679931998252868,0.971028447151184,0.971028447151184,0.9050797820091248,0.7949392199516296,0.9146540760993958,206.1583818485268,0.11197677484346334,-0.0034562955492873472,-2.0891328537750527e-08,1.7829507435953954e-06,2591100
zcemu-monthly-init-rh-in-m10-30d-v1-online,0.9614048600196838,0.8928312063217163,0.966472625732422,0.8466323614120483,0.972338318824768,0.9761233329772948,0.9761233329772948,0.8855255842208862,0.8009594082832336,0.8968103528022766,205.8657926217365,0.08924647028135159,6.09279779780536e-05,3.347084588425711e-08,-4.583742549495694e-07,2591100
zcemu-monthly-init-rh-in-m11-30d-v1-online,0.9606488347053528,0.9118300676345824,0.9657498002052308,0.8833338618278503,0.977394700050354,0.9814378619194032,0.9814378619194032,0.8322917222976685,0.8297601938247681,0.8366483449935913,205.43825162048873,0.056018084794362974,-0.005370144239944352,-3.529653114286638e-08,1.5031312165824423e-06,2591100
zcemu-monthly-init-rh-in-m12-30d-v1-online,0.9726712703704834,0.9173714518547058,0.9774552583694458,0.8782040476799011,0.980057418346405,0.9842356443405152,0.9842356443405152,0.9004459977149963,0.8260102272033691,0.9070775508880616,205.0765271565949,0.0636199588724781,-0.0005779905865978208,-4.46482332208845e-09,1.2741423061067657e-06,2591100
zc-emu-monthly-seed5-m01-30d-v1-online,0.9849534630775452,0.942650020122528,0.9888534545898438,0.9626457691192628,0.9855826497077942,0.9896059036254884,0.9896059036254884,0.971303641796112,0.9000163674354553,0.9725600481033324,205.79492564549344,0.07372632538712799,-0.010656812757463285,-9.635678351964888e-09,3.5788376135117114e-07,2591100
zc-emu-monthly-seed5-m02-30d-v1-online,0.9811046719551086,0.9282978773117064,0.9849960803985596,0.954050838947296,0.9818635582923888,0.985689103603363,0.985689103603363,0.9636110067367554,0.8867490291595459,0.9666945338249208,206.23092075658437,0.08311559988650372,-0.005556845110433528,2.0671122566624943e-08,-1.1448659011396077e-06,2591100
zc-emu-monthly-seed5-m03-30d-v1-online,0.9849042892456056,0.9535280466079712,0.9889860153198242,0.9695503115653992,0.985884726047516,0.9900387525558472,0.9900387525558472,0.9656919240951538,0.921497106552124,0.9678434729576112,205.96004163131764,0.12291307126158098,-0.013544582560280105,5.420209360780894e-09,-9.739911012438158e-07,2591100
zc-emu-monthly-seed5-m04-30d-v1-online,0.9822895526885986,0.94468092918396,0.9860047101974488,0.9583458304405212,0.9851411581039428,0.98880535364151,0.98880535364151,0.9415017366409302,0.892012894153595,0.9438081979751588,205.27814904203353,0.10869133192163348,-0.011399670995388078,-1.5655992241839063e-09,7.125758150195588e-07,2591100
